,gene,freq,type,pam
1,DEC1,6,RNA,Original
2,MACRCH10,6,RNA,Original
3,SEPT10,6,RNA,Original
4,MARCH11,6,RNA,Original
5,SEPT11,6,RNA,Original
6,SEPT12,6,RNA,Original
7,SEPT14,6,RNA,Original
8,SEPT15,6,RNA,Original
9,MARCH2,6,RNA,Original
10,SEPT2,6,RNA,Original
11,MARCH3,6,RNA,Original
12,SEPT3,6,RNA,Original
13,MARCH4,6,RNA,Original
14,SEPT4,6,RNA,Original
15,MARCH5,6,RNA,Original
16,SEPT5,6,RNA,Original
17,MARCH6,6,RNA,Original
18,SEPT6,6,RNA,Original
19,MARCH7,6,RNA,Original
20,SEPT7,6,RNA,Original
21,MARCH8,6,RNA,Original
22,SEPT8,6,RNA,Original
23,MARCH9,6,RNA,Original
24,SEPT9,6,RNA,Original
25,A1BG,6,RNA,Original
26,A1CF,6,RNA,Original
27,A2M,6,RNA,Original
28,A2ML1,6,RNA,Original
29,A3GALT2,6,RNA,Original
30,A4GALT,6,RNA,Original
31,A4GNT,6,RNA,Original
32,AAAS,6,RNA,Original
33,AACS,6,RNA,Original
34,AADAC,6,RNA,Original
35,AADACL2,6,RNA,Original
36,AADACL3,6,RNA,Original
37,AADACL4,6,RNA,Original
38,AADAT,6,RNA,Original
39,AAED1,6,RNA,Original
40,AAGAB,6,RNA,Original
41,AAK1,6,RNA,Original
42,AAMDC,6,RNA,Original
43,AAMP,6,RNA,Original
44,AANAT,6,RNA,Original
45,AAR2,6,RNA,Original
46,AARD,6,RNA,Original
47,AARS,6,RNA,Original
48,AARS2,6,RNA,Original
49,AARSD1,6,RNA,Original
50,AASDH,6,RNA,Original
51,AASDHPPT,6,RNA,Original
52,AASS,6,RNA,Original
53,AATF,6,RNA,Original
54,AATK,6,RNA,Original
55,ABAT,6,RNA,Original
56,ABCA1,6,RNA,Original
57,ABCA10,6,RNA,Original
58,ABCA12,6,RNA,Original
59,ABCA13,6,RNA,Original
60,ABCA2,6,RNA,Original
61,ABCA3,6,RNA,Original
62,ABCA4,6,RNA,Original
63,ABCA5,6,RNA,Original
64,ABCA6,6,RNA,Original
65,ABCA7,6,RNA,Original
66,ABCA8,6,RNA,Original
67,ABCA9,6,RNA,Original
68,ABCB1,6,RNA,Original
69,ABCB10,6,RNA,Original
70,ABCB11,6,RNA,Original
71,ABCB4,6,RNA,Original
72,ABCB5,6,RNA,Original
73,ABCB6,6,RNA,Original
74,ABCB7,6,RNA,Original
75,ABCB8,6,RNA,Original
76,ABCB9,6,RNA,Original
77,ABCC1,6,RNA,Original
78,ABCC10,6,RNA,Original
79,ABCC11,6,RNA,Original
80,ABCC12,6,RNA,Original
81,ABCC2,6,RNA,Original
82,ABCC3,6,RNA,Original
83,ABCC4,6,RNA,Original
84,ABCC5,6,RNA,Original
85,ABCC6,6,RNA,Original
86,ABCC8,6,RNA,Original
87,ABCC9,6,RNA,Original
88,ABCD1,6,RNA,Original
89,ABCD2,6,RNA,Original
90,ABCD3,6,RNA,Original
91,ABCD4,6,RNA,Original
92,ABCE1,6,RNA,Original
93,ABCF1,6,RNA,Original
94,ABCF2,6,RNA,Original
95,ABCF3,6,RNA,Original
96,ABCG1,6,RNA,Original
97,ABCG2,6,RNA,Original
98,ABCG4,6,RNA,Original
99,ABCG5,6,RNA,Original
100,ABCG8,6,RNA,Original
101,ABHD1,6,RNA,Original
102,ABHD10,6,RNA,Original
103,ABHD11,6,RNA,Original
104,ABHD12,6,RNA,Original
105,ABHD12B,6,RNA,Original
106,ABHD13,6,RNA,Original
107,ABHD14A,6,RNA,Original
108,ABHD14B,6,RNA,Original
109,ABHD15,6,RNA,Original
110,ABHD16A,6,RNA,Original
111,ABHD16B,6,RNA,Original
112,ABHD17A,6,RNA,Original
113,ABHD17B,6,RNA,Original
114,ABHD17C,6,RNA,Original
115,ABHD2,6,RNA,Original
116,ABHD3,6,RNA,Original
117,ABHD4,6,RNA,Original
118,ABHD5,6,RNA,Original
119,ABHD6,6,RNA,Original
120,ABHD8,6,RNA,Original
121,ABI1,6,RNA,Original
122,ABI2,6,RNA,Original
123,ABI3,6,RNA,Original
124,ABI3BP,6,RNA,Original
125,ABL1,6,RNA,Original
126,ABL2,6,RNA,Original
127,ABLIM1,6,RNA,Original
128,ABLIM2,6,RNA,Original
129,ABLIM3,6,RNA,Original
130,ABO,6,RNA,Original
131,ABP1,6,RNA,Original
132,ABR,6,RNA,Original
133,ABRA,6,RNA,Original
134,ABRACL,6,RNA,Original
135,ABT1,6,RNA,Original
136,ABTB1,6,RNA,Original
137,ABTB2,6,RNA,Original
138,ACAA1,6,RNA,Original
139,ACAA2,6,RNA,Original
140,ACACA,6,RNA,Original
141,ACACB,6,RNA,Original
142,ACAD10,6,RNA,Original
143,ACAD11,6,RNA,Original
144,ACAD8,6,RNA,Original
145,ACAD9,6,RNA,Original
146,ACADL,6,RNA,Original
147,ACADM,6,RNA,Original
148,ACADS,6,RNA,Original
149,ACADSB,6,RNA,Original
150,ACADVL,6,RNA,Original
151,ACAN,6,RNA,Original
152,ACAP1,6,RNA,Original
153,ACAP2,6,RNA,Original
154,ACAP3,6,RNA,Original
155,ACAT1,6,RNA,Original
156,ACAT2,6,RNA,Original
157,ACBD3,6,RNA,Original
158,ACBD4,6,RNA,Original
159,ACBD5,6,RNA,Original
160,ACBD6,6,RNA,Original
161,ACBD7,6,RNA,Original
162,ACCS,6,RNA,Original
163,ACCSL,6,RNA,Original
164,ACD,6,RNA,Original
165,ACE,6,RNA,Original
166,ACE2,6,RNA,Original
167,ACER1,6,RNA,Original
168,ACER2,6,RNA,Original
169,ACER3,6,RNA,Original
170,ACHE,6,RNA,Original
171,ACIN1,6,RNA,Original
172,ACKR2,6,RNA,Original
173,ACKR3,6,RNA,Original
174,ACKR4,6,RNA,Original
175,ACLY,6,RNA,Original
176,ACMSD,6,RNA,Original
177,ACN9,6,RNA,Original
178,ACO1,6,RNA,Original
179,ACO2,6,RNA,Original
180,ACOT1,6,RNA,Original
181,ACOT11,6,RNA,Original
182,ACOT12,6,RNA,Original
183,ACOT13,6,RNA,Original
184,ACOT2,6,RNA,Original
185,ACOT4,6,RNA,Original
186,ACOT6,6,RNA,Original
187,ACOT7,6,RNA,Original
188,ACOT8,6,RNA,Original
189,ACOT9,6,RNA,Original
190,ACOX1,6,RNA,Original
191,ACOX2,6,RNA,Original
192,ACOX3,6,RNA,Original
193,ACOXL,6,RNA,Original
194,ACP1,6,RNA,Original
195,ACP2,6,RNA,Original
196,ACP5,6,RNA,Original
197,ACP6,6,RNA,Original
198,ACPL2,6,RNA,Original
199,ACPP,6,RNA,Original
200,ACPT,6,RNA,Original
201,ACR,6,RNA,Original
202,ACRBP,6,RNA,Original
203,ACRC,5,RNA,Original
204,ACRV1,6,RNA,Original
205,ACSBG1,6,RNA,Original
206,ACSBG2,6,RNA,Original
207,ACSF2,6,RNA,Original
208,ACSF3,6,RNA,Original
209,ACSL1,6,RNA,Original
210,ACSL3,6,RNA,Original
211,ACSL4,6,RNA,Original
212,ACSL5,6,RNA,Original
213,ACSL6,6,RNA,Original
214,ACSM1,6,RNA,Original
215,ACSM2A,6,RNA,Original
216,ACSM2B,6,RNA,Original
217,ACSM3,6,RNA,Original
218,ACSM4,6,RNA,Original
219,ACSM5,6,RNA,Original
220,ACSS1,6,RNA,Original
221,ACSS2,6,RNA,Original
222,ACSS3,6,RNA,Original
223,ACTA1,6,RNA,Original
224,ACTA2,6,RNA,Original
225,ACTB,6,RNA,Original
226,ACTBL2,6,RNA,Original
227,ACTC1,6,RNA,Original
228,ACTG1,6,RNA,Original
229,ACTG2,6,RNA,Original
230,ACTL10,6,RNA,Original
231,ACTL6A,6,RNA,Original
232,ACTL6B,6,RNA,Original
233,ACTL7A,6,RNA,Original
234,ACTL7B,6,RNA,Original
235,ACTL8,6,RNA,Original
236,ACTL9,6,RNA,Original
237,ACTN1,6,RNA,Original
238,ACTN2,6,RNA,Original
239,ACTN4,6,RNA,Original
240,ACTR10,6,RNA,Original
241,ACTR1A,6,RNA,Original
242,ACTR1B,6,RNA,Original
243,ACTR2,6,RNA,Original
244,ACTR3,6,RNA,Original
245,ACTR3B,6,RNA,Original
246,ACTR3C,6,RNA,Original
247,ACTR5,6,RNA,Original
248,ACTR6,6,RNA,Original
249,ACTR8,6,RNA,Original
250,ACTRT1,6,RNA,Original
251,ACTRT2,6,RNA,Original
252,ACTRT3,6,RNA,Original
253,ACVR1,6,RNA,Original
254,ACVR1B,6,RNA,Original
255,ACVR1C,6,RNA,Original
256,ACVR2A,6,RNA,Original
257,ACVR2B,6,RNA,Original
258,ACVRL1,6,RNA,Original
259,ACY1,6,RNA,Original
260,ACY3,6,RNA,Original
261,ACYP1,5,RNA,Original
262,ACYP2,6,RNA,Original
263,ADA,6,RNA,Original
264,ADAD1,6,RNA,Original
265,ADAD2,6,RNA,Original
266,ADAL,6,RNA,Original
267,ADAM10,6,RNA,Original
268,ADAM11,6,RNA,Original
269,ADAM12,6,RNA,Original
270,ADAM15,6,RNA,Original
271,ADAM17,6,RNA,Original
272,ADAM18,6,RNA,Original
273,ADAM19,6,RNA,Original
274,ADAM2,6,RNA,Original
275,ADAM20,6,RNA,Original
276,ADAM21,6,RNA,Original
277,ADAM22,6,RNA,Original
278,ADAM23,6,RNA,Original
279,ADAM28,6,RNA,Original
280,ADAM29,6,RNA,Original
281,ADAM30,6,RNA,Original
282,ADAM32,6,RNA,Original
283,ADAM33,6,RNA,Original
284,ADAM7,6,RNA,Original
285,ADAM8,6,RNA,Original
286,ADAM9,6,RNA,Original
287,ADAMDEC1,6,RNA,Original
288,ADAMTS1,6,RNA,Original
289,ADAMTS10,6,RNA,Original
290,ADAMTS12,6,RNA,Original
291,ADAMTS13,6,RNA,Original
292,ADAMTS14,6,RNA,Original
293,ADAMTS15,6,RNA,Original
294,ADAMTS16,6,RNA,Original
295,ADAMTS17,6,RNA,Original
296,ADAMTS18,6,RNA,Original
297,ADAMTS19,6,RNA,Original
298,ADAMTS2,6,RNA,Original
299,ADAMTS20,6,RNA,Original
300,ADAMTS3,6,RNA,Original
301,ADAMTS4,6,RNA,Original
302,ADAMTS5,6,RNA,Original
303,ADAMTS6,6,RNA,Original
304,ADAMTS7,6,RNA,Original
305,ADAMTS8,6,RNA,Original
306,ADAMTS9,6,RNA,Original
307,ADAMTSL1,6,RNA,Original
308,ADAMTSL2,6,RNA,Original
309,ADAMTSL3,6,RNA,Original
310,ADAMTSL4,6,RNA,Original
311,ADAMTSL5,6,RNA,Original
312,ADAP1,6,RNA,Original
313,ADAP2,6,RNA,Original
314,ADAR,6,RNA,Original
315,ADARB1,6,RNA,Original
316,ADARB2,6,RNA,Original
317,ADAT1,6,RNA,Original
318,ADAT2,6,RNA,Original
319,ADAT3,6,RNA,Original
320,ADC,6,RNA,Original
321,ADCK1,6,RNA,Original
322,ADCK2,6,RNA,Original
323,ADCK3,6,RNA,Original
324,ADCK4,6,RNA,Original
325,ADCK5,6,RNA,Original
326,ADCY1,6,RNA,Original
327,ADCY10,6,RNA,Original
328,ADCY2,6,RNA,Original
329,ADCY3,6,RNA,Original
330,ADCY4,6,RNA,Original
331,ADCY5,6,RNA,Original
332,ADCY6,6,RNA,Original
333,ADCY7,6,RNA,Original
334,ADCY8,6,RNA,Original
335,ADCY9,6,RNA,Original
336,ADCYAP1,6,RNA,Original
337,ADCYAP1R1,6,RNA,Original
338,ADD1,6,RNA,Original
339,ADD2,6,RNA,Original
340,ADD3,6,RNA,Original
341,ADH1A,6,RNA,Original
342,ADH1B,6,RNA,Original
343,ADH4,6,RNA,Original
344,ADH5,6,RNA,Original
345,ADH6,6,RNA,Original
346,ADH7,6,RNA,Original
347,ADHFE1,6,RNA,Original
348,ADI1,6,RNA,Original
349,ADIG,6,RNA,Original
350,ADIPOQ,6,RNA,Original
351,ADIPOR1,6,RNA,Original
352,ADIPOR2,6,RNA,Original
353,ADIRF,6,RNA,Original
354,ADK,6,RNA,Original
355,ADM,6,RNA,Original
356,ADM2,6,RNA,Original
357,ADM5,6,RNA,Original
358,ADNP,6,RNA,Original
359,ADNP2,6,RNA,Original
360,ADO,6,RNA,Original
361,ADORA1,6,RNA,Original
362,ADORA2A,6,RNA,Original
363,ADORA2B,6,RNA,Original
364,ADORA3,6,RNA,Original
365,ADPGK,6,RNA,Original
366,ADPRH,6,RNA,Original
367,ADPRHL1,6,RNA,Original
368,ADPRHL2,6,RNA,Original
369,ADPRM,6,RNA,Original
370,ADRA1A,6,RNA,Original
371,ADRA1B,6,RNA,Original
372,ADRA1D,6,RNA,Original
373,ADRA2A,6,RNA,Original
