"","gene","freq","type","pam"
"1","DEC1",4,"RNA","Original"
"2","MAR1",8,"RNA","Original"
"3","SEP1",4,"RNA","Original"
"4","MARCH10",4,"RNA","Original"
"5","SEPT10",4,"RNA","Original"
"6","MARCH11",4,"RNA","Original"
"7","SEPT11",4,"RNA","Original"
"8","SEPT12",4,"RNA","Original"
"9","SEPT15",4,"RNA","Original"
"10","SEPT15",4,"RNA","Original"
"11","MARCH2",8,"RNA","Original"
"12","SEPT2",4,"RNA","Original"
"13","MARCH3",4,"RNA","Original"
"14","SEPT3",4,"RNA","Original"
"15","MARCH4",4,"RNA","Original"
"16","SEPT4",4,"RNA","Original"
"17","MARCH5",4,"RNA","Original"
"18","SEPT5",4,"RNA","Original"
"19","MARCH6",4,"RNA","Original"
"20","SEPT6",4,"RNA","Original"
"21","MARCH7",4,"RNA","Original"
"22","SEPT7",4,"RNA","Original"
"23","MARCH8",4,"RNA","Original"
"24","SEPT8",4,"RNA","Original"
"25","MARCH9",4,"RNA","Original"
"26","SEPT9",4,"RNA","Original"
"27","A1BG",4,"RNA","Original"
"28","A1CF",4,"RNA","Original"
"29","A2M",4,"RNA","Original"
"30","A2ML1",4,"RNA","Original"
"31","A3GALT2",4,"RNA","Original"
"32","A4GALT",4,"RNA","Original"
"33","A4GNT",4,"RNA","Original"
"34","AAAS",4,"RNA","Original"
"35","AACS",4,"RNA","Original"
"36","AADAC",4,"RNA","Original"
"37","AADACL2",4,"RNA","Original"
"38","AADACL3",4,"RNA","Original"
"39","AADACL4",4,"RNA","Original"
"40","AADAT",4,"RNA","Original"
"41","AAED1",4,"RNA","Original"
"42","AAGAB",4,"RNA","Original"
"43","AAK1",4,"RNA","Original"
"44","AAMDC",4,"RNA","Original"
"45","AAMP",4,"RNA","Original"
"46","AANAT",4,"RNA","Original"
"47","AAR2",4,"RNA","Original"
"48","AARD",4,"RNA","Original"
"49","AARS",4,"RNA","Original"
"50","AARS2",4,"RNA","Original"
"51","AARSD1",4,"RNA","Original"
"52","AASDH",4,"RNA","Original"
"53","AASDHPPT",4,"RNA","Original"
"54","AASS",4,"RNA","Original"
"55","AATF",4,"RNA","Original"
"56","AATK",4,"RNA","Original"
"57","ABAT",4,"RNA","Original"
"58","ABCA1",4,"RNA","Original"
"59","ABCA10",4,"RNA","Original"
"60","ABCA12",4,"RNA","Original"
"61","ABCA13",4,"RNA","Original"
"62","ABCA2",4,"RNA","Original"
"63","ABCA3",4,"RNA","Original"
"64","ABCA4",4,"RNA","Original"
"65","ABCA5",4,"RNA","Original"
"66","ABCA6",4,"RNA","Original"
"67","ABCA7",4,"RNA","Original"
"68","ABCA8",4,"RNA","Original"
"69","ABCA9",4,"RNA","Original"
"70","ABCB1",4,"RNA","Original"
"71","ABCB10",4,"RNA","Original"
"72","ABCB11",4,"RNA","Original"
"73","ABCB4",4,"RNA","Original"
"74","ABCB5",4,"RNA","Original"
"75","ABCB6",4,"RNA","Original"
"76","ABCB7",4,"RNA","Original"
"77","ABCB8",4,"RNA","Original"
"78","ABCB9",4,"RNA","Original"
"79","ABCC1",4,"RNA","Original"
"80","ABCC10",4,"RNA","Original"
"81","ABCC11",4,"RNA","Original"
"82","ABCC12",4,"RNA","Original"
"83","ABCC2",4,"RNA","Original"
"84","ABCC3",4,"RNA","Original"
"85","ABCC4",4,"RNA","Original"
"86","ABCC5",4,"RNA","Original"
"87","ABCC6",4,"RNA","Original"
"88","ABCC8",4,"RNA","Original"
"89","ABCC9",4,"RNA","Original"
"90","ABCD1",4,"RNA","Original"
"91","ABCD2",4,"RNA","Original"
"92","ABCD3",4,"RNA","Original"
"93","ABCD4",4,"RNA","Original"
"94","ABCE1",4,"RNA","Original"
"95","ABCF1",4,"RNA","Original"
"96","ABCF2",4,"RNA","Original"
"97","ABCF3",4,"RNA","Original"
"98","ABCG1",4,"RNA","Original"
"99","ABCG2",4,"RNA","Original"
"100","ABCG4",4,"RNA","Original"
"101","ABCG5",4,"RNA","Original"
"102","ABCG8",4,"RNA","Original"
"103","ABHD1",4,"RNA","Original"
"104","ABHD10",4,"RNA","Original"
"105","ABHD11",4,"RNA","Original"
"106","ABHD12",4,"RNA","Original"
"107","ABHD12B",4,"RNA","Original"
"108","ABHD13",4,"RNA","Original"
"109","ABHD14A",4,"RNA","Original"
"110","ABHD14B",4,"RNA","Original"
"111","ABHD15",4,"RNA","Original"
"112","ABHD16A",4,"RNA","Original"
"113","ABHD16B",4,"RNA","Original"
"114","ABHD17A",4,"RNA","Original"
"115","ABHD17B",4,"RNA","Original"
"116","ABHD17C",4,"RNA","Original"
"117","ABHD2",4,"RNA","Original"
"118","ABHD3",4,"RNA","Original"
"119","ABHD4",4,"RNA","Original"
"120","ABHD5",4,"RNA","Original"
"121","ABHD6",4,"RNA","Original"
"122","ABHD8",4,"RNA","Original"
"123","ABI1",4,"RNA","Original"
"124","ABI2",4,"RNA","Original"
"125","ABI3",4,"RNA","Original"
"126","ABI3BP",4,"RNA","Original"
"127","ABL1",4,"RNA","Original"
"128","ABL2",4,"RNA","Original"
"129","ABLIM1",4,"RNA","Original"
"130","ABLIM2",4,"RNA","Original"
"131","ABLIM3",4,"RNA","Original"
"132","ABO",4,"RNA","Original"
"133","ABR",4,"RNA","Original"
"134","ABRA",4,"RNA","Original"
"135","ABRACL",4,"RNA","Original"
"136","ABT1",4,"RNA","Original"
"137","ABTB1",4,"RNA","Original"
"138","ABTB2",4,"RNA","Original"
"139","ACAA1",4,"RNA","Original"
"140","ACAA2",4,"RNA","Original"
"141","ACACA",4,"RNA","Original"
"142","ACACB",4,"RNA","Original"
"143","ACAD10",4,"RNA","Original"
"144","ACAD11",4,"RNA","Original"
"145","ACAD8",4,"RNA","Original"
"146","ACAD9",4,"RNA","Original"
"147","ACADL",4,"RNA","Original"
"148","ACADM",4,"RNA","Original"
"149","ACADS",4,"RNA","Original"
"150","ACADSB",4,"RNA","Original"
"151","ACADVL",4,"RNA","Original"
"152","ACAN",4,"RNA","Original"
"153","ACAP1",4,"RNA","Original"
"154","ACAP2",4,"RNA","Original"
"155","ACAP3",4,"RNA","Original"
"156","ACAT1",4,"RNA","Original"
"157","ACAT2",4,"RNA","Original"
"158","ACBD3",4,"RNA","Original"
"159","ACBD4",4,"RNA","Original"
"160","ACBD5",4,"RNA","Original"
"161","ACBD6",4,"RNA","Original"
"162","ACBD7",4,"RNA","Original"
"163","ACCS",4,"RNA","Original"
"164","ACCSL",4,"RNA","Original"
"165","ACD",4,"RNA","Original"
"166","ACE",4,"RNA","Original"
"167","ACE2",4,"RNA","Original"
"168","ACER1",4,"RNA","Original"
"169","ACER2",4,"RNA","Original"
"170","ACER3",4,"RNA","Original"
"171","ACHE",4,"RNA","Original"
"172","ACIN1",4,"RNA","Original"
"173","ACKR1",4,"RNA","Original"
"174","ACKR2",4,"RNA","Original"
"175","ACKR3",4,"RNA","Original"
"176","ACKR4",4,"RNA","Original"
"177","ACLY",4,"RNA","Original"
"178","ACMSD",4,"RNA","Original"
"179","ACO1",4,"RNA","Original"
"180","ACO2",4,"RNA","Original"
"181","ACOT1",4,"RNA","Original"
"182","ACOT11",4,"RNA","Original"
"183","ACOT12",4,"RNA","Original"
"184","ACOT13",4,"RNA","Original"
"185","ACOT2",4,"RNA","Original"
"186","ACOT4",4,"RNA","Original"
"187","ACOT6",4,"RNA","Original"
